title,location,experience,salary,description,skills
ML Engineer,Bangalore,2-5 Years,1500000,Looking for ML Engineer,"React, TensorFlow, Docker, AWS"
Full Stack Developer,Mumbai,8+ Years,3500000,Looking for Full Stack Developer,"SQL, Spark, Excel, Java"
Backend Developer,Delhi,2-5 Years,1000000,Looking for Backend Developer,"C++, Excel, Docker, Spark"
Data Analyst,Mumbai,2-5 Years,1000000,Looking for Data Analyst,"Docker, TensorFlow, AWS, Java"
Cloud Engineer,Mumbai,8+ Years,3100000,Looking for Cloud Engineer,"Tableau, SQL, C++, React"
Data Scientist,Chennai,8+ Years,3600000,Looking for Data Scientist,"Java, Tableau, Docker, TensorFlow"
DevOps Engineer,Pune,8+ Years,4000000,Looking for DevOps Engineer,"Docker, SQL, Spark, React"
Frontend Developer,Hyderabad,8+ Years,3600000,Looking for Frontend Developer,"React, Java, Machine Learning, Python"
AI Engineer,Bangalore,5-8 Years,1800000,Looking for AI Engineer,"Python, Java, C++, Excel"
AI Engineer,Hyderabad,2-5 Years,800000,Looking for AI Engineer,"Kubernetes, React, Java, TensorFlow"
AI Engineer,Mumbai,5-8 Years,2000000,Looking for AI Engineer,"Kubernetes, React, Docker, Excel"
Data Analyst,Pune,8+ Years,2600000,Looking for Data Analyst,"Python, SQL, Excel, Java"
Backend Developer,Delhi,0-2 Years,500000,Looking for Backend Developer,"Power BI, React, SQL, AWS"
AI Engineer,Pune,8+ Years,3700000,Looking for AI Engineer,"Docker, Kubernetes, Power BI, React"
Frontend Developer,Pune,8+ Years,3200000,Looking for Frontend Developer,"C++, Excel, Java, TensorFlow"
Data Analyst,Delhi,2-5 Years,1200000,Looking for Data Analyst,"Docker, Power BI, TensorFlow, Spark"
Full Stack Developer,Bangalore,0-2 Years,600000,Looking for Full Stack Developer,"Tableau, React, Java, TensorFlow"
Data Scientist,Hyderabad,5-8 Years,2500000,Looking for Data Scientist,"SQL, React, Machine Learning, TensorFlow"
Frontend Developer,Hyderabad,2-5 Years,1200000,Looking for Frontend Developer,"Power BI, Tableau, Java, Spark"
Backend Developer,Delhi,8+ Years,4000000,Looking for Backend Developer,"Machine Learning, Power BI, Python, Docker"
ML Engineer,Mumbai,5-8 Years,2000000,Looking for ML Engineer,"React, Python, Spark, TensorFlow"
